name,alt_name,ra,dec,vmag_code,vmag,multiple,class,bv_color,bv_uncert,ub_color,ub_uncert,hd,hr,par_code,parallax,ri_code,sao
HR 7228,Sig Oct,317.1925,-88.9564,,5.47,,STAR F0III,0.27,,0.13,,177482,7228,,,,258857
HR 8294,,341.3692,-88.8183,,6.57,,STAR F0IV,0.28,,0.13,,206553,8294,,,,258931
HR 5491,,232.0796,-88.1331,,6.48,,STAR A0,0.30,,0.10,,129723,5491,,,,258720
HR 6721,Chi Oct,283.6954,-87.6058,,5.28,,STAR K3III,1.28,,1.60,,164461,6721,,,,258799
HR 6133,,258.9971,-87.5664,,6.57,,STAR G5III,0.91,,0.56,,148451,6133,,,,258754
HR 8862,Tau Oct,352.0154,-87.4822,,5.49,,STAR K2III,1.27,,1.43,,219765,8862,,,,258970
HR 2848,,101.7446,-87.0250,,6.47,,STAR F3V,0.42,,-0.07,,58805,2848,,,,258460
HR 6139,,255.2437,-86.3644,,6.04,,STAR A2V,0.05,,0.02,,148542,6139,,,,258751
HR 4709,,186.4062,-86.1506,,6.33,,STAR K0III,1.08,,0.89,,107739,4709,,,,258644
HR 8505,Ups Oct,337.9058,-85.9672,,5.77,,STAR K0III,1.02,,0.88,,211539,8505,,,,258932
HR 5084,Kap Oct,205.2312,-85.7861,,5.58,,STAR A0,0.18,,0.16,,117374,5084,,,,258674
HR 3678,Zet Oct,134.1712,-85.6631,,5.42,,STAR A8IV,0.31,,0.07,,79837,3678,,,,258515
HR 4595,,180.5838,-85.6317,,6.05,W,STAR K3III,1.29,,1.54,,104555,4595,,,,258632
HR 1271,,55.6338,-85.2622,,6.41,W,STAR B9IV,-0.01,,-0.10,,25887,1271,D,0.0080,,258356
HR 6552,,270.3921,-85.2147,,6.45,,STAR F5IV,0.44,,0.02,,159517,6552,,,,258779
HR 4870,Iot Oct,193.7442,-85.1233,,5.46,W,STAR K0III,1.02,,0.79,,111482,4870,,,,258654
HR 47,,3.3308,-84.9942,,5.77,,STAR M0III,1.72,,2.10,,1032,47,,,,258217
HR 8129,,323.0175,-84.8100,,6.45,,STAR K3III,1.40,,1.66,,202418,8129,,,,258899
HR 5557,Ome Oct,227.7846,-84.7875,,5.91,,STAR B9V,-0.06,,-0.13,,131596,5557,,,,258717
HR 2059,,82.5579,-84.7850,,6.20,,STAR B9IV,-0.02,,-0.11,,39780,2059,,,,258418
HR 525,,24.3667,-84.7697,,5.69,,STAR G8III,0.94,,0.66,,11025,525,,,,258273
HR 4312,Eta Oct,164.8075,-84.5939,,6.19,,STAR A1V,0.11,,0.12,,96124,4312,,,,258600
HR 5729,Rho Oct,235.8200,-84.4653,,5.57,,STAR A2V,0.11,,0.08,,137333,5729,,,,258731
HR 5339,Del Oct,216.7287,-83.6678,,4.32,,STAR K2III,1.31,,1.45,,124882,5339,,,E,258698
HR 6964,,282.9912,-83.3164,,7.16,,STAR K1III,1.26,,1.30,,171161,6964,,,,258810
