star_name,star_constellation,star_other_name
HD 48915,Canis Major,"Sirius, α-CMa, 9-CMa, HR 2491, HIP 32349"
HD 45348,Carina,"Canopus, α-Car, HR 2326, HIP 30438, TYC 8534-2277-1"
HD 128620,Centaurus,"Rigil Kentaurus, α-Cen, HR 5459, HIP 71683"
HD 172167,Lyra,"Vega, α-Lyr, 3-Lyr, HR 7001, HIP 91262"
HD 34029,Auriga,"Capella, α-Aur, 13-Aur, HR 1708, NSV 1897, HIP 24608"
HD 124897,Bootes,"Arcturus, α-Boo, 16-Boo, HR 5340, NSV 6603, HIP 69673, TYC 1472-1436-1"
HD 34085,Orion,"Rigel, β-Ori, 19-Ori, HR 1713, NSV 1882, HIP 24436, TYC 5331-1752-1"
HD 61421,Canis Minor,"Procyon, α-CMi, 10-CMi, HR 2943, NSV 3672, HIP 37279"
HD 10144,Eridanus,"Achernar, α-Eri, HR 472, HIP 7588, TYC 8478-1395-1"
HD 39801,Orion,"Betelgeuse, α-Ori, 58-Ori, HR 2061, HIP 27989, TYC 129-1873-1"
HD 122451,Centaurus,"Hadar, β-Cen, HR 5267, HIP 68702, TYC 9005-3919-1"
HD 187642,Aquila,"Altair, α-Aql, 53-Aql, HR 7557, HIP 97649, TYC 1058-3399-1"
HD 29139,Taurus,"Aldebaran, α-Tau, 87-Tau, HR 1457, HIP 21421, TYC 1266-1416-1"
HD 116658,Virgo,"Spica, α-Vir, 67-Vir, HR 5056, HIP 65474, TYC 5547-1518-1"
HD 148478,Scorpius,"Antares, α-Sco, 21-Sco, HR 6134, HIP 80763, TYC 6803-2158-1"
HD 62509,Gemini,"Pollux, β-Gem, 78-Gem, HR 2990, NSV 3712, HIP 37826, TYC 1920-2194-1"
HD 216956,Piscis Austrinus,"Fomalhaut, α-PsA, 24-PsA, HR 8728, NSV 14372, HIP 113368, TYC 6977-1267-1"
HD 108248,Crux,"Acrux, α¹-Cru, HR 4730, HIP 60718, TYC 8979-3464-1"
HD 111123,Crux,"Mimosa, β-Cru, HR 4853, HIP 62434, TYC 8659-3107-1"
HD 197345,Cygnus,"Deneb, α-Cyg, 50-Cyg, HR 7924, HIP 102098, TYC 3574-3347-1"
HD 128621,Centaurus,"α-Cen, HR 5460, HIP 71681"
HD 87901,Leo,"Regulus, α-Leo, 32-Leo, HR 3982, NSV 4750, HIP 49669, TYC 833-1381-1"
HD 52089,Canis Major,"Adhara, ε-CMa, 21-CMa, HR 2618, HIP 33579, TYC 6535-3619-1"
